Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of nership,Industry,Sector,Revenue,Competitors,hourly,Employer Provided Salary,min salary,max salary,avg salary,company name text,job city location,same_city,age,python y/n,tableau y/n,excel y/n,aws y/n,spark y/n,hadoop y/n,SQL y/n,BI y/n,job_simp,seniority,desc_len,num_comp
Data Scientist,Employer Provided Salary:$70K-$120K,"BestReviews.com is the ultimate product recommendation service for the modern shopping experience. We eliminate the need for consumers to spend hours determining the best product for their needs. We have partnerships that allow our content to be seen on top sites like those of the Chicago Tribune, New York Daily News and more.
As the only Data Scientist at BestReviews, you will lead our data infrastructure and projects. You will work alongside a multidisciplinary team, including product, content, creative, and engineering. Your work will have an immediate and direct impact on our site and our millions of users around the world. You will work directly with the Director of Product Management and founding team. You will be an integral part of identifying and implementing business growth efforts.
We want to better organize and get insights from our website and ecommerce data. With our recent growth, we are ready to invest in our data infrastructure, and we have a growing number of data needs.
This role is full-time based in San Francisco. Learn more about us here: http://bestreviews.com/about-us
Your primary objective / responsibilities:
Own our data infrastructure and scale it to meet the company’s needs, including potentially setting up a data warehouse and/or BI tool
Create processes to support key metrics data and manage this data
Identify business growth opportunities, including the use of conversion signals from our website and marketing campaigns
Collaborate with product, content, and business development teams to meet their data needs
Make recommendations based on website A/B test results
Lead data privacy projects like CCPA
Qualifications / Requirements
2-4 years of experience in a data scientist or data analyst role
Proficiency in MySQL
Experience working with engineers
Experience with machine learning is a plus
Programming experience is a plus
E-Commerce experience is a plus
Benefits of this job:
Work directly with founding team in a flat, energetic, fast-moving organization
Working closely with the Director of Product Manager and Chief Content Officer
Competitive compensation / benefits / etc",5.0,"BestReviews
5.0","San Francisco, CA","San Francisco, CA",51 to 200 employees,2014,Company - Private,Publishing,Media,Unknown / Non-Applicable,-1,0,1,70,120,95.0,BestReviews,San Francisco,1,7,0,0,0,0,0,0,1,1,data scientist,na,2137,1
Data Scientist,$88K-$122K (Glassdoor est.),"We are passionate about solving real world problems
How does one revolutionize a model of power delivery that finds itself rooted in the era of Thomas Edison and Nikola Tesla? Simply put, it isn't a one person job. VPS is a growing team of diverse software engineers, hardware engineers, data scientists and designers who share a passion for solving multi disciplinary problems. Building a software-driven smart grid that will transform how power is managed isn’t easy. But hard problems are the ones that we are most passionate about. It is simply who we are.

As a Data Scientist in the data science group, you will be designing, developing, prototyping and productionizing algorithms in the context of power management within data centers.

What You’ll Do
Work with the data science team, as well as cross functionally with other teams including back-end developers, product management to help define problems, collect data and build analytical models.
Create and validate models for predicting power consumption and long term trends within data centers.
Design simple yet robust algorithms using rule-based or optimization-based (e.g. linear programming) approaches to optimize power consumption in data center.
Implement these algorithms in production code using deep-learning models.

Qualifications
Hold master’s or Ph.D. in a quantitative field such as Optimization, Applied Mathematics, Computational Science and/or Engineering.
Must have at least three years of experience in design, development and implementation of deep-learning models.
Competent in programming (in languages such as Python, Matlab, Java, R) and have the ability to learn new software systems quickly.
Knowledge of linear programming, optimization, calculus, linear algebra (more is a plus).
Experience with data analysis and mathematical modeling is a plus.
Machine learning and/or time series analysis is a plus.
Strong communication and collaboration skills.
Ability to work and think independently.

About Us
Virtual Power Systems was founded to drive innovation at the intersection of software and hardware with the single purpose of enabling the fourth pillar of a Software-Defined Data Center – virtualized power. VPS has created innovative designs and forged critical industry partnerships to revolutionize the way power is consumed in the data center.

By bringing Artificial Intelligence and Machine Learning to an infrastructure space that was traditionally viewed as a pure hardware play, we enable both data center operators and power equipment vendors to leverage Software-Defined Power to increase capacity, ensure availability, and enable automation. You are now ready to tackle the insatiable power-hungry world we are moving towards.",4.5,"Virtual Power Systems
4.5","Milpitas, CA","Milpitas, CA",1 to 50 employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Less than $1 million (USD),-1,0,0,88,122,105.0,Virtual Power Systems,Milpitas,1,8,1,0,0,0,0,0,0,1,data scientist,na,2731,1
Data Scientist,$139K-$186K (Glassdoor est.),"Software Engineer, Data Science (Optimization)

at Marin Software

San Francisco, CA

Marin is the Advertising Management Platform of choice for global brands such as General Motors, American Express, Macy's, REI, Sephora, Salesforce.com, and 500 other top consumer and B2B companies.

Optimizing ad targeting and performance starts with having the right data, and the Big Data engineering team makes it happen. Combining thousands of reports from Google, Facebook, Bing, and other publishers, over 100M click events per day from our in house performance tracking system and customer reporting systems, and 5+ billion advertising campaign objects, we power our proprietary bidding systems and financial models to maximize value and return for our customers.

Marin is rapidly building out our Big Data infrastructure. We've already built out a 100+ node, petabyte size cluster, and now is a great opportunity to join as a key member of the team and be at the center of the action. We are in an active search for a Data Science Engineer, Bidding to bring real world experience of data analysis and machine learning techniques on vast datasets. We enjoy intense mathematics and computer science challenges and approach these problems with creativity and teamwork. We believe Marin's explosive growth should not compromise its agility in responding to market trends. We are a company that believes in building a product for the long-term, and creating a company that can grow as the market matures.

Responsibilities
Challenging Machine Learning problems in Bid Prediction in the search advertising space.
Analyze large datasets on Spark. Contribute to open source, work on mlib & Presto!
Work on convex portfolio optimization techniques in the display advertising space.
Matrix Factorization methods at scale comparable to the Netflix Challenge, to identify target audiences for product segments
Requirements
2+ years relevant work experience
Experience with Scala, Spark, functional programming.
Statistical Programming (Matlab, R, Python)
Industry experience with data analytics projects involving machine learning/optimization in production
Industry experience working with or developing distributed systems, especially distributed data stores a plus (Spark, HBase, Presto)
BS/MS/Ph.D. in Computer Science/Mathematics/Statistics or other quantitative discipline
Compensation

This is an on-site, full time salaried position located in our San Francisco world headquarters office. Marin Software provides Equity participation, best in class comprehensive health plans including medical, vision and dental, in addition to flex time off and reimburses 50% of monthly commuting costs for parking and/or mass transit up to the IRS limitations. Marin Software's world headquarters is located in the financial district of San Francisco, with remote offices in Chicago, New York, Austin, and Portland. European headquarters are located in London, with additional offices in Singapore, Paris, Hamburg, Sydney and Tokyo.

About Marin Software

Marin Software Incorporated's (NYSE: MRIN) mission is to give advertisers the power to drive higher efficiency, effectiveness, and transparency in their paid marketing programs that run on the world's largest publishers. Marin provides industry leading enterprise marketing software for advertisers and agencies to measure, manage, and optimize more than $7.8 billion in annualized ad spend across the web and mobile devices. Offering an integrated SaaS ad management platform for search, social, and display advertising, Marin helps digital marketers improve financial performance, save time, and make better decisions. Advertisers use Marin to create, target, and convert precise audiences based on recent buying signals from users' search, social, and display interactions. Headquartered in San Francisco, with offices in eight countries, Marin's technology powers marketing campaigns around the globe. For more information about Marin Software, please visit: marinsoftware.com.

Marin Software embraces diversity and is proud to be an equal opportunity employer. As part of our commitment to diversifying our workforce, we do not discriminate on the basis of age, race, sex, gender, gender identity, color, religion, national origin, sexual orientation, marital status, citizenship, veteran status, or disability status, and we operate in compliance with the San Francisco Fair Chance Ordinance.",3.3,"Marin Software
3.3","San Francisco, CA","San Francisco, CA",201 to 500 employees,2006,Company - Public,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),-1,0,0,139,186,162.5,Marin Software,San Francisco,1,15,1,0,0,0,1,0,0,1,data scientist,na,4434,1
Data Scientist - Business Analytics,$112K-$155K (Glassdoor est.),"About Quora:


The vast majority of human knowledge is still not on the internet. Most of it is trapped in the form of experience in people's heads, or buried in books and papers that only experts can access. More than a billion people use the internet, yet only a tiny fraction contribute their knowledge to it. We want to democratize access to knowledge of all kinds from politics to painting, cooking to coding, etymology to experiences so if someone out there knows something, anyone else can learn it. Our mission is to share and grow the world's knowledge, and we're building a world-class team to help us achieve this mission.

About the Team:


Our Data team sits at the core of helping the company makes the best decisions possible to ensure we achieve our mission. As part of that org, our Business Analytics team is responsible for driving the analytics that surface opportunities in our people, marketing, operations, and sales teams. We are a highly cross-functional team and recognize we have the most success when working together; as a result, you will build strong partnerships with key stakeholders across the organization.

About the Role:


As a Data Scientist on the Business Analytics team, you will draw on your product and business knowledge, available metrics, insights from teammates, and your industry experience to know where to best focus quantitative efforts for maximum impact. You're capable of executing independently and are energized by ambiguity. You're curious, driven, and excited to make a significant impact in helping achieve the company's mission.

Responsibilities:
Define & socialize key metrics to evaluate the health of our partner business teams & programs
Discover & drive program initiatives through data driven recommendations and partner with cross-functional teams to implement/launch them
Develop & manage data models to bring order and insight to complex datasets
Leverage Python and/or other visualization tools to design and develop new user-facing tools and dashboarding systems to empower partner teams
Communicate findings from data and analyses to senior stakeholders, influencing them to make the best decisions possible
Minimum Qualifications:


Bachelor's degree in Statistics, Computer Science, Mathematics or other quantitative disciplines
1+ years of experience in advanced analytics and optimization in a consulting or technology-related role
1+ years experience using Advanced SQL and Excel skills
Strong analytical skills, with experience solving ambiguous problems using data and providing practical business insights to both technical and non-technical audiences
Strong process-oriented skills and a drive to find efficiencies without sacrificing a high quality of work and/or results
Familiarity with Python or a similar scripting language for analytical contexts, or a willingness to learn
Ability to partner cross-functionally with engineering, marketing, operations, product management, and/or sales
Preferred Qualifications:


Masters or PhD in Statistics, Computer Science, Mathematics or other quantitative disciplines
Passion for Quora's mission and goals
Experience in working with large data sets and distributed computing tools (Hive, Redshift)
Experience with data visualization (e.g. Superset, Tableau) technologies
Experience with data pipeline tools (e.g. Airflow)
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",4.7,"Quora
4.7","Mountain View, CA","Mountain View, CA",201 to 500 employees,2009,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,0,0,112,155,133.5,Quora,Mountain View,1,12,1,1,1,0,0,0,1,1,data scientist,na,3589,1
"Data Scientist, People Analytics",$151K-$203K (Glassdoor est.),"The Position


The People Analytics team at Genentech is a small group of 9 people that has an outsized impact. We build products around data whose insights affect all ~14,000 Genentech employees. Our team is close knit and dynamic acting more like a startup within Genentech than anything else. We are looking for a dynamic Senior Data Scientist to join our team to help propel our trajectory and drive more impact.

Who we are looking for


As we are a small team, we are looking for an experienced Data Scientist with a variety of engineering, modeling, statistical and business skills who is comfortable working on both products and projects. Communication with stakeholders and within our team is a must, so excellent communication skills are required, especially around technical topics to non-technical audiences. No ideas are out of bounds, so we are looking for someone who is creative with data, including how and where we acquire it and how and where we use it. Most importantly we are seeking someone who is persistent: we are working on many things at once so we have to stay patient but continue to push the envelope.

No experience in People Analytics or HR is required, but the desire to learn and become a subject matter expert on the HR domain is a necessity.

Key Responsibilities
Leadership of projects and initiatives
Thought leadership on how to use advanced statistics, ML and AI in the HR domain
Synthesizing requirements from non-technical stakeholders
Drive decision making by clearly tell stories with data
Promote (both your own and others on the team) ideas and vision to external stakeholders and potential customers
Inspire and collaborate closely with team members and stakeholders
Forge relationships with peers across the company to drive team success
Technical Experience


Required
At least 10 years experience building models, executing statistical analyses and manipulating data
At least 5 years experience with Python (Numpy, Scipy, Pandas, scikit-learn)
SQL RDBMS
Building production ETL processes to acquire and process data
Production Deployment of Machine Learning models
Statistical expertise
Data Visualization
Production software development experience (git, testing, code reviews etc)
Familiar (and willingness to learn more of)
AWS (S3, EC2, Sagemaker, Glue)
R
Docker
Agile processes
Plotly and Plotly-Dash
Deep Learning (Tensorflow, Pytorch)
Who We Are


A member of the Roche Group, Genentech has been at the forefront of the biotechnology industry for more than 40 years, using human genetic information to develop novel medicines for serious and life-threatening diseases. Genentech has multiple therapies on the market for cancer & other serious illnesses. Please take this opportunity to learn about Genentech where we believe that our employees are our most important asset & are dedicated to remaining a great place to work.

The next step is yours. To apply today, click on the ""Apply online"" button.

Genentech is an equal opportunity employer & prohibits unlawful discrimination based on race, color, religion, gender, sexual orientation, gender identity/expression, national origin/ancestry, age, disability, marital & veteran status. For more information about equal employment opportunity, visit our Genentech Careers page.",3.9,"Genentech
3.9","South San Francisco, CA","South San Francisco, CA",10000+ employees,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,0,0,151,203,177.0,Genentech,South San Francisco,1,45,1,0,1,1,0,0,1,1,data scientist,na,3285,1
"Data Scientist, Analytics",$101K-$137K (Glassdoor est.),"The Analytics team is looking for Data Scientists to drive measurement, strategy, and tactical decision-making across the company. You'll be solving problems that range from customer acquisition to balancing supply and demand to new city launches to marketplace efficiency. You'll be designing and analyzing A/B tests for new product features, generating and sizing opportunities to prioritize new initiatives, and defining key performance metrics for the team. Data Scientists at DoorDash work cross-functionally to uncover insights and turn them into actionable recommendations.

The ideal candidate will have a background in a quantitative or technical field, will have experience working with large data sets, and will have some experience in data-driven decision making. You will be a great fit if you have a strong bias towards action, enjoy finding patterns amidst chaos, and have demonstrated success in using analytics to drive business impact. We're looking for someone who has the technical skills to surface insights quickly, and the interpersonal skills to communicate those insights in a way that persuades action.

What you'll do
Use quantitative analysis and the presentation of data to see beyond the numbers and understand what drives our business
Provide insights to help business and product leaders understand marketplace dynamics, user behaviors, and long-term trends
Identify and quantify levers to help move key metrics
Recommend which features to build and why
Work backwards from understanding and sizing problems to ideating solutions
Generate recommendations and use statistical techniques and hypothesis testing to validate your findings. This includes:
Performing analytical deep-dives to identify problems, opportunities and actions required;
Collecting, processing, and cleaning data from disparate sources using SQL, R, Python, or other scripting and statistical tools; and
Managing the design, execution, and analysis of experiments; driving rigor and testing culture through product and operations teams
Report against company initiatives by identifying key metrics and building executive-facing dashboards to track progress
Monitor key performance metrics, understanding root causes of changes
Build data sets and reporting tables to empower operational and exploratory analysis
Partner with engineering to implement, document, validate, and monitor our logging
About you
2-5 years of experience in a data analytics, consulting, or other quantitative role
Examples of relevant experience include: Funnel optimization, user segmentation, cohort analyses, time series analyses, regression models, etc.
Experience with analyzing both client side and server side tracking a plus
An ability to write very complex SQL queries. ETL experience a plus
Proficiency in one or more analytics & visualization tools (e.g. Chartio, Looker, Tableau)
A deep understanding of statistical analysis (e.g. hypothesis testing, experimentation, regressions) and familiarity with statistical packages, such as Matlab, R, SAS or Python
Strong business judgment. You've got the ability to take ambiguous problems and solve them in a structured, hypothesis-driven, data-supported way
Self-starter attitude. You're someone who can initiate and drive projects to completion with minimal guidance
Get-it-done mindset. You're not afraid of long hours, able to handle stress well, humble and scrappy!
A degree in Math, Physics, Statistics, Economics, Computer Science, or other quantitative field
About us

Founded in 2013, DoorDash is a San Francisco-based technology company passionate about transforming local businesses and dedicated to enabling new ways of working, earning, and living. Today, DoorDash connects customers with their favorite local and national restaurants in more than 1,000 cities across the United States and Canada. By building intelligent, last-mile delivery technology for local cities, DoorDash aims to connect people with the things they care about — one dash at a time.",4.0,"DoorDash
4.0","San Francisco, CA","San Francisco, CA",501 to 1000 employees,2013,Company - Private,Express Delivery Services,Transportation & Logistics,Unknown / Non-Applicable,-1,0,0,101,137,119.0,DoorDash,San Francisco,1,8,1,1,0,0,0,0,1,1,data scientist,na,4003,1
"Data Scientist, Product Analytics",$148K-$201K (Glassdoor est.),"Position: Data Scientist, Product Analytics
Location: San Francisco, CA
Organization: StubHub, www.stubhub.com (an eBay company NASDAQ: EBAY)


At StubHub, our mission is to bring the joy of live to fans globally. As the worlds most trusted ticket marketplace spanning 44 countries, we enable fans to buy and sell tickets to tens of thousands of events, whenever and wherever fans want to be. Backed by award-winning customer care, StubHubs FanProtect Guarantee means every ticket is 100 percent guaranteed valid or youll receive your money back or a replacement ticket of equal or better value. Our business partners include more than 130 properties globally across the NFL, MLB, NBA, NHL, MLS, WWE, NCAA, Matchroom Boxing, plus Paciolan and Tessitura. StubHub provides the total end-to-end event going experience throughout the world.

Our Values

These actions and attitudes are how we approach our work and how we work together as a unified team.

At StubHub, we are:

Owners We carry the ball. We act as one team, in it together. We live above the line as optimists and with a solution mindset. We are fully accountable for solving problems, both our own pieces and the whole.

Fan First We are the fans biggest fan. We are the fan and the voice of our fans in everything we do.

Driven We push past the finish line, aggressively prioritize and focus on what matters most. We debate, decide, commit and deliver.

Inventive We play a new chord; we celebrate progress over perfection and learnings as much as success. Were agile because there is always more than one way.

Courageous We take big swings. We show up for challenges with resilience and persistence. We take risks, embrace failure as a path to learning, and speak up when we have a different opinion.

Diverse & Inclusive We harmonize. We assume positive intent, trust and empower others; bring a global mindset and seek out alternative viewpoints.

The Opportunity:

We are looking for an experienced Data scientist with exceptional product sense to help champion the use of data in product decision-making. In this role you will work closely with our Engineering, Product, Ops, and Design teams to evaluate product opportunities, track product metrics, develop and analyze experiments, and drive deep-dive studies to identify new opportunities.

You Will
Apply data & analytical skills to help understand how our customers use our products
Partner closely with product leadership to define, measure and report on core product and feature metrics
Design customer-facing experiments (A/B tests) and distill their results into actionable outcomes
Execute cohort studies and drive analyses to understand customer behavior and identify opportunities for improving our product(s)
Collaborate with data and business intelligence teams to develop reports and visualization dashboards
Build financial models to project key business metrics - Traffic, conversion, Engagement - and develop KPIs to measure initiative performance
You Have
Strong quantitative background with Product analytics experience. Proven track record in solving business problems through fact based and scientific analytics
Excellent technical skills - including the ability to query databases (SQL, Hive etc.), leveraging R/Python to analyze complex data, and using Tableau (or other visualization tools) to deliver insights at scale
Deep understanding of statistics, experimental design, and causal inference
The ability to translate analytical insights into clear recommendations and effectively deliver it to technical and non-technical stakeholders
Worked in cross-functional and cross-cultural teams, and are able to communicate technically intricate concepts/results in business terms
Passion for technology and consumer products
This website uses cookies to enhance your experience. By continuing to browse the site, you agree to our use of cookies

View our privacy policy

View our accessibility info

eBay Inc. is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, veteran status, and disability, or other legally protected status. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at talent@ebay.com. We will make every effort to respond to your request for disability assistance as soon as possible.

For more information see:

EEO is the Law Poster

EEO is the Law Poster Supplement",3.7,"eBay
3.7","San Francisco, CA","San Jose, CA",10000+ employees,1995,Company - Public,Internet,Information Technology,$10+ billion (USD),"Amazon, Apple",0,0,148,201,174.5,eBay,San Francisco,0,26,1,1,1,0,0,0,1,1,data scientist,na,4546,2
Jr. Data Scientist,$101K-$138K (Glassdoor est.),"Shutterfly is looking for a Jr. Customer Data Scientist who will take customer knowledge to the next level. Leveraging machine learning, predictive modeling, and audience techniques (such as cluster analysis, customer journey, persona identification) this experienced customer data scientist will join the Marketing department to focus on identifying actionable audience and customer insights especially focused on creation of behavioral segments and identification of targeting groups.

This will involve providing end to end data science support by leveraging Shutterfly’s unique and varied data. This involves using cutting edge, cloud-based machine learning techniques and technologies to develop models (deep learning, uplift models), designing and implementing A/B tests, creating algorithms and running simulations, scaling the solution through automation, creating integrated feedback mechanisms for the models to improve and calibrate based on A/B tests, and extensive analytical deep-dives to investigate and find insights.

POSITION RESPONSIBILITIES:
Work with stakeholders to define objectives and success measures, establish KPIs and measurement time period
Identify customers' needs/requirements and quantify them into statistical problems.
Use advanced knowledge of SQL to pull accurate data from Teradata or Cloud based systems
Build machine learning models using R/Hive/Pig/Python which can recommend who, what and how of targeting
Collect and cleanse large amount of real-world consumers’ usage and commerce data in various production environments
Develop predictive models on large-scale datasets to address various business problems through demonstrating advanced statistical modeling, machine learning, or data mining techniques.
You will deliver informative and actionable findings, results and recommendations from machine learning models to stakeholders, be able to build dashboards of critical statistics and metrics
You will drive full cycle projects from data to results.
REQUIREMENTS:
MS or BS degree in Computer Science, Statistics, Applied Math, Operations Research, Econometrics, or other related fields.
Previous experience with Customer Analytics and Segmentation/Targeting.
Deep understanding of statistical modeling, machine learning, deep learning, or data mining concepts, and a track record of solving problems with these methods.
Proficient in one or more programming languages such as Python, Java, Scala, and C
Familiar with one or more machine learning or statistical modeling tools such as R, scikit learn, and Spark MLlib
Practical experience with distributed data platforms: Map/Reduce, Hadoop, SPARK
Knowledge and experience working with relational databases and SQL; Demonstrated flexibility in working with large, complex, and ambiguous datasets
Work successfully in a highly cross-functional environment
Strong analytical and quantitative problem solving ability.
Excellent communication, relationship skills and a strong teammate.
PREFERRED REQUIREMENTS
Strong programming skills to achieve automation and scale
Experience withCloud compute solutions, such as AWS, GCS or Azure, preferred
Experience with version control systems such as Github
Familiarity with Unix",3.3,"Shutterfly
3.3","Redwood City, CA","Redwood City, CA",1001 to 5000 employees,1999,Company - Public,Internet,Information Technology,$1 to $2 billion (USD),"Snapfish, Vistaprint, Minted",0,0,101,138,119.5,Shutterfly,Redwood City,1,22,1,0,1,1,1,1,1,1,data scientist,junior,3215,3
Data Scientist,$116K-$158K (Glassdoor est.),"Company Overview:
Nisum Technologies, Inc. is a global consulting firm headquartered in California. Founded in 2000 with the customer-centric motto ""Building Success Together®,"" we've grown to over 1,300 consultants across the United States, Chile, India, and Pakistan. Nisum specializes in Adaptable Back-End systems such as, Order Management, Inventory and eCommerce. Our philosophy and deep technical expertise result in solutions that deliver real and measurable growth.
Required Skills:
4+ years of experience as a Data Scientist
An understanding of the Retail/E-Commerce industry and how to apply analytic techniques to solve problems
An understanding of supply chain analytics inclusive of manufacturing, sourcing, promising and fulfillment
Experience working with Product Managers and Engineers to apply analytics and experimentation to drive iterative experience design decisions
Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, Collaborative Filtering.
Experience with common data science toolkits, such as R, Weka, MATLAB, etc.
Experience using Python libraries such as NumPy, Pandas, and Scikit-Learn to build Machine Learning Models.
Hands-on experience on at least one deep learning framework such as Keras, Theano, TensorFlow, and Caffe.
Hands on experience with Recurrent and LSTM networks
Knowledge of timeseries models such as ARIMA and ARIMAX.
* Great communication skills
Experience with data visualization tools, such as D3.js, GGplot, etc.
Proficiency in using query languages such as SQL and Hive.
Experience with NoSQL databases, such as MongoDB, Cassandra, HBase, etc.
Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Data-oriented personality
Experience working with Spark & Scala to scale ML pipelines preferred.
Education:
Master's/Bachelor's Degree in Computer Science, Robotics, Mathematics, Statistics, MachineLearning, or a related quantitative field.",3.8,"Nisum
3.8","San Francisco, CA","Brea, CA",501 to 1000 employees,2000,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,116,158,137.0,Nisum,San Francisco,0,21,1,0,1,0,1,0,1,0,data scientist,na,1999,1
Data Scientist,$139K-$190K (Glassdoor est.),"Generate insights and impact from data.

We're looking for data scientists to join the Analytics team who are excited about applying their analytical skills to understand our users and influence decision making. If you are naturally data curious, excited about deriving insights from data, and motivated by having impact on the business, we want to hear from you.

You will:
Work closely with product and business teams to identify important questions and answer them with data.

Apply statistical and econometric models on large datasets to: i) measure results and outcomes, ii) identify causal impact and attribution, iii) predict future performance of users or products.

Design, analyze, and interpret the results of experiments.

Drive the collection of new data and the refinement of existing data sources.

Create analyses that tell a ""story"" focused on insights, not just data.

We're looking for someone with:
3+ years experience working with and analyzing large data sets to solve problems.

A PhD or MS in a quantitative field (e.g., Economics, Statistics, Eng, Natural Sciences, CS).

Expert knowledge of a scientific computing language (such as R or Python) and SQL.

Strong knowledge of statistics and experimental design.

Ability to communicate results clearly and a focus on driving impact.

Nice to haves:
Prior experience with data-distributed tools (Scalding, Hadoop, Pig, etc).

You should include these in your application:
Resume and LinkedIn profile.

Description of the most interesting data analysis you've done, key findings, and its impact.

Link to or attachment of code you've written related to data analysis.",4.1,"Stripe
4.1","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2010,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Braintree, Authorize.Net, PayPal",0,0,139,190,164.5,Stripe,San Francisco,1,11,1,0,0,0,0,1,1,1,data scientist,na,1640,3
