Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of nership,Industry,Sector,Revenue,Competitors
Data Scientist,Employer Provided Salary:$70K-$120K,"BestReviews.com is the ultimate product recommendation service for the modern shopping experience. We eliminate the need for consumers to spend hours determining the best product for their needs. We have partnerships that allow our content to be seen on top sites like those of the Chicago Tribune, New York Daily News and more.
As the only Data Scientist at BestReviews, you will lead our data infrastructure and projects. You will work alongside a multidisciplinary team, including product, content, creative, and engineering. Your work will have an immediate and direct impact on our site and our millions of users around the world. You will work directly with the Director of Product Management and founding team. You will be an integral part of identifying and implementing business growth efforts.
We want to better organize and get insights from our website and ecommerce data. With our recent growth, we are ready to invest in our data infrastructure, and we have a growing number of data needs.
This role is full-time based in San Francisco. Learn more about us here: http://bestreviews.com/about-us
Your primary objective / responsibilities:
Own our data infrastructure and scale it to meet the company’s needs, including potentially setting up a data warehouse and/or BI tool
Create processes to support key metrics data and manage this data
Identify business growth opportunities, including the use of conversion signals from our website and marketing campaigns
Collaborate with product, content, and business development teams to meet their data needs
Make recommendations based on website A/B test results
Lead data privacy projects like CCPA
Qualifications / Requirements
2-4 years of experience in a data scientist or data analyst role
Proficiency in MySQL
Experience working with engineers
Experience with machine learning is a plus
Programming experience is a plus
E-Commerce experience is a plus
Benefits of this job:
Work directly with founding team in a flat, energetic, fast-moving organization
Working closely with the Director of Product Manager and Chief Content Officer
Competitive compensation / benefits / etc",5.0,"BestReviews
5.0","San Francisco, CA","San Francisco, CA",51 to 200 employees,2014,Company - Private,Publishing,Media,Unknown / Non-Applicable,-1
Data Scientist,$88K-$122K (Glassdoor est.),"We are passionate about solving real world problems
How does one revolutionize a model of power delivery that finds itself rooted in the era of Thomas Edison and Nikola Tesla? Simply put, it isn't a one person job. VPS is a growing team of diverse software engineers, hardware engineers, data scientists and designers who share a passion for solving multi disciplinary problems. Building a software-driven smart grid that will transform how power is managed isn’t easy. But hard problems are the ones that we are most passionate about. It is simply who we are.

As a Data Scientist in the data science group, you will be designing, developing, prototyping and productionizing algorithms in the context of power management within data centers.

What You’ll Do
Work with the data science team, as well as cross functionally with other teams including back-end developers, product management to help define problems, collect data and build analytical models.
Create and validate models for predicting power consumption and long term trends within data centers.
Design simple yet robust algorithms using rule-based or optimization-based (e.g. linear programming) approaches to optimize power consumption in data center.
Implement these algorithms in production code using deep-learning models.

Qualifications
Hold master’s or Ph.D. in a quantitative field such as Optimization, Applied Mathematics, Computational Science and/or Engineering.
Must have at least three years of experience in design, development and implementation of deep-learning models.
Competent in programming (in languages such as Python, Matlab, Java, R) and have the ability to learn new software systems quickly.
Knowledge of linear programming, optimization, calculus, linear algebra (more is a plus).
Experience with data analysis and mathematical modeling is a plus.
Machine learning and/or time series analysis is a plus.
Strong communication and collaboration skills.
Ability to work and think independently.

About Us
Virtual Power Systems was founded to drive innovation at the intersection of software and hardware with the single purpose of enabling the fourth pillar of a Software-Defined Data Center – virtualized power. VPS has created innovative designs and forged critical industry partnerships to revolutionize the way power is consumed in the data center.

By bringing Artificial Intelligence and Machine Learning to an infrastructure space that was traditionally viewed as a pure hardware play, we enable both data center operators and power equipment vendors to leverage Software-Defined Power to increase capacity, ensure availability, and enable automation. You are now ready to tackle the insatiable power-hungry world we are moving towards.",4.5,"Virtual Power Systems
4.5","Milpitas, CA","Milpitas, CA",1 to 50 employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Less than $1 million (USD),-1
Data Scientist,-1,"About Stanza

Hundreds of millions of pageviews, natural language processing, real-time user analytics, header bidding… these are just a few of the challenges we face at Stanza. To the consumer, Stanza is a seamless calendar integration, allowing users to sync their favorite interests and events such as concerts, sporting events, movie releases, esports, etc. With partners such as Warner Brothers, NBC Sports, CBS, NFL, NBA, NHL, NCAA, and many more, Stanza is becoming the default way to embed and share calendars on the web.

We are redefining the purpose of a calendar with one core value in mind: Your Time Matters. This leads us to a larger vision to redefine the calendar as a dynamic service that helps you automatically find, remember and act on the things that you truly care about spending your time on. We provide intelligent recommendations for Stanza calendars based on the content of articles and pages across the web aligning with interests, utilizing advanced analytics.

If you would like to take this journey and make a difference, please read on.

Stanza is backed by top tier venture investors and is headquartered in San Francisco.

What you will do
Design, develop and program methods, processes, and systems to consolidate and analyze unstructured, diverse big data sources to generate actionable insights and solutions for client services and product enhancement.
Analyzes complex business problems and issues using data from internal and external sources to provide insight to decision-makers.
Identify and interpret trends and patterns in datasets to locate influences.
Construct forecasts, recommendations and strategic/tactical plans based on business data and market knowledge.
Create specifications for reports and analysis based on business needs and required or available data elements.
Produce datasets and reports for analysis using system reporting tools.
Use advanced mathematical and statistical concepts and theories to analyze and collect data and construct solutions to business problems.
Perform complex statistical analysis on experimental or business data to validate and quantify trends or patterns identified by business analysts.
Construct predictive models, algorithms and probability engines to support data analysis or product functions; verifies model and algorithm effectiveness based on real-world results.
Design experiments and methodologies to generate and collect data for business use.
Who you are
You have 5-7 years of experience manipulating data sets and building statistical models, and you have an advanced degree in Statistics, Mathematics, Computer Science or another quantitative field.
You are knowledge and experienced in statistical and data mining techniques
You have strong problem solving skills with an emphasis on product development.
You are extremely adept using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.
You are well versed in working with and creating data architectures.
You have an interest and knowledge in a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Typically you delve into statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) on a weekly if not daily basis.
You have excellent written and verbal communication skills for coordinating across teams.
You have a drive to learn and master new technologies and techniques.
What else
Exciting startup environment with competitive salary with equity
Commuter reimbursements
Catered lunches several times a week
Medical, vision and dental benefits
Dog friendly office",3.2,"Stanza
3.2","San Francisco, CA","San Francisco, CA",1 to 50 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,-1,"Affinity is on a mission to help everyone in the world succeed by cultivating and harnessing the power of their network. We've got a lot left to build, and we're growing fast. As we grow, we're looking for a Data Scientist to analyze large amounts of raw information to find insights and patterns that will help improve our company. We will rely on you to lead the building of data products to extract valuable business insights, with support from engineering and other functions within the company. Your goal will be to help our company use data to make better decisions.
What you'll be doing
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Identify KPIs and create company dashboards that help us track the health of our business
Present information using data visualization techniques
Propose solutions and strategies to business challenges based on findings from data analysis
Collaborate with engineering and product development teams
Where beneficial to the business, build predictive models and machine-learning algorithms
We'd love to hear from you if you have:
Proven experience as a Data Scientist or Data Analyst
Exceptional SQL skills
Experience in data mining
Experience using business intelligence tools (e.g. Tableau, Amplitude) and data frameworks (e.g. Hadoop)
Understanding of machine-learning and operations research
Knowledge of R, Python is an asset
Analytical mind and business acumen
Problem-solving aptitude
Excellent communication and presentation skills
A BIT ABOUT US
Relationships are the backbone of the world's most valuable industries—from sales and business development to finance and philanthropy. But the tools used today to manage those relationships are broken. Actionable context remains locked away in the email and calendar streams of coworkers and colleagues, and no one has the time to analyze or organize this exponentially growing trail of data.

Affinity ingests and analyzes this massive communications data stream and uses it to power our platform, which helps our customers understand, manage, and leverage their networks more effectively.

We've raised over $40M, and in the past two years, we launched the product and have since processed over 1 billion communication data points and generated 4+ million introductions and connections while capturing close to 40% of the global venture capital market. We are also actively breaking into new markets. We're growing fast and we’ve got a lot left to build.

TECH STACK
Some of our core technologies are Ruby, PostgreSQL, TypeScript, React, React Native, and Redux. On the infrastructure side, we make extensive use of AWS, Kubernetes, and Terraform.

We love learning and teaching, and we’re happy to bring on strong engineering leaders whether or not they have experience with these particular tools.

ALL ARE WELCOME
The more diverse our team is, the more we’ll be able to learn from each other, and the better our company and our product will be. Whatever your gender, race, sexual orientation, religion, age, veteran status, favorite Spotify playlist, or social, cultural, and economic background, we can’t wait to welcome you to Affinity!

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.",5.0,"Affinity
5.0","San Francisco, CA","San Francisco, CA",51 to 200 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,$139K-$186K (Glassdoor est.),"Software Engineer, Data Science (Optimization)

at Marin Software

San Francisco, CA

Marin is the Advertising Management Platform of choice for global brands such as General Motors, American Express, Macy's, REI, Sephora, Salesforce.com, and 500 other top consumer and B2B companies.

Optimizing ad targeting and performance starts with having the right data, and the Big Data engineering team makes it happen. Combining thousands of reports from Google, Facebook, Bing, and other publishers, over 100M click events per day from our in house performance tracking system and customer reporting systems, and 5+ billion advertising campaign objects, we power our proprietary bidding systems and financial models to maximize value and return for our customers.

Marin is rapidly building out our Big Data infrastructure. We've already built out a 100+ node, petabyte size cluster, and now is a great opportunity to join as a key member of the team and be at the center of the action. We are in an active search for a Data Science Engineer, Bidding to bring real world experience of data analysis and machine learning techniques on vast datasets. We enjoy intense mathematics and computer science challenges and approach these problems with creativity and teamwork. We believe Marin's explosive growth should not compromise its agility in responding to market trends. We are a company that believes in building a product for the long-term, and creating a company that can grow as the market matures.

Responsibilities
Challenging Machine Learning problems in Bid Prediction in the search advertising space.
Analyze large datasets on Spark. Contribute to open source, work on mlib & Presto!
Work on convex portfolio optimization techniques in the display advertising space.
Matrix Factorization methods at scale comparable to the Netflix Challenge, to identify target audiences for product segments
Requirements
2+ years relevant work experience
Experience with Scala, Spark, functional programming.
Statistical Programming (Matlab, R, Python)
Industry experience with data analytics projects involving machine learning/optimization in production
Industry experience working with or developing distributed systems, especially distributed data stores a plus (Spark, HBase, Presto)
BS/MS/Ph.D. in Computer Science/Mathematics/Statistics or other quantitative discipline
Compensation

This is an on-site, full time salaried position located in our San Francisco world headquarters office. Marin Software provides Equity participation, best in class comprehensive health plans including medical, vision and dental, in addition to flex time off and reimburses 50% of monthly commuting costs for parking and/or mass transit up to the IRS limitations. Marin Software's world headquarters is located in the financial district of San Francisco, with remote offices in Chicago, New York, Austin, and Portland. European headquarters are located in London, with additional offices in Singapore, Paris, Hamburg, Sydney and Tokyo.

About Marin Software

Marin Software Incorporated's (NYSE: MRIN) mission is to give advertisers the power to drive higher efficiency, effectiveness, and transparency in their paid marketing programs that run on the world's largest publishers. Marin provides industry leading enterprise marketing software for advertisers and agencies to measure, manage, and optimize more than $7.8 billion in annualized ad spend across the web and mobile devices. Offering an integrated SaaS ad management platform for search, social, and display advertising, Marin helps digital marketers improve financial performance, save time, and make better decisions. Advertisers use Marin to create, target, and convert precise audiences based on recent buying signals from users' search, social, and display interactions. Headquartered in San Francisco, with offices in eight countries, Marin's technology powers marketing campaigns around the globe. For more information about Marin Software, please visit: marinsoftware.com.

Marin Software embraces diversity and is proud to be an equal opportunity employer. As part of our commitment to diversifying our workforce, we do not discriminate on the basis of age, race, sex, gender, gender identity, color, religion, national origin, sexual orientation, marital status, citizenship, veteran status, or disability status, and we operate in compliance with the San Francisco Fair Chance Ordinance.",3.3,"Marin Software
3.3","San Francisco, CA","San Francisco, CA",201 to 500 employees,2006,Company - Public,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),-1
Data Scientist - Business Analytics,$112K-$155K (Glassdoor est.),"About Quora:


The vast majority of human knowledge is still not on the internet. Most of it is trapped in the form of experience in people's heads, or buried in books and papers that only experts can access. More than a billion people use the internet, yet only a tiny fraction contribute their knowledge to it. We want to democratize access to knowledge of all kinds from politics to painting, cooking to coding, etymology to experiences so if someone out there knows something, anyone else can learn it. Our mission is to share and grow the world's knowledge, and we're building a world-class team to help us achieve this mission.

About the Team:


Our Data team sits at the core of helping the company makes the best decisions possible to ensure we achieve our mission. As part of that org, our Business Analytics team is responsible for driving the analytics that surface opportunities in our people, marketing, operations, and sales teams. We are a highly cross-functional team and recognize we have the most success when working together; as a result, you will build strong partnerships with key stakeholders across the organization.

About the Role:


As a Data Scientist on the Business Analytics team, you will draw on your product and business knowledge, available metrics, insights from teammates, and your industry experience to know where to best focus quantitative efforts for maximum impact. You're capable of executing independently and are energized by ambiguity. You're curious, driven, and excited to make a significant impact in helping achieve the company's mission.

Responsibilities:
Define & socialize key metrics to evaluate the health of our partner business teams & programs
Discover & drive program initiatives through data driven recommendations and partner with cross-functional teams to implement/launch them
Develop & manage data models to bring order and insight to complex datasets
Leverage Python and/or other visualization tools to design and develop new user-facing tools and dashboarding systems to empower partner teams
Communicate findings from data and analyses to senior stakeholders, influencing them to make the best decisions possible
Minimum Qualifications:


Bachelor's degree in Statistics, Computer Science, Mathematics or other quantitative disciplines
1+ years of experience in advanced analytics and optimization in a consulting or technology-related role
1+ years experience using Advanced SQL and Excel skills
Strong analytical skills, with experience solving ambiguous problems using data and providing practical business insights to both technical and non-technical audiences
Strong process-oriented skills and a drive to find efficiencies without sacrificing a high quality of work and/or results
Familiarity with Python or a similar scripting language for analytical contexts, or a willingness to learn
Ability to partner cross-functionally with engineering, marketing, operations, product management, and/or sales
Preferred Qualifications:


Masters or PhD in Statistics, Computer Science, Mathematics or other quantitative disciplines
Passion for Quora's mission and goals
Experience in working with large data sets and distributed computing tools (Hive, Redshift)
Experience with data visualization (e.g. Superset, Tableau) technologies
Experience with data pipeline tools (e.g. Airflow)
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",4.7,"Quora
4.7","Mountain View, CA","Mountain View, CA",201 to 500 employees,2009,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
"Data Scientist, People Analytics",$151K-$203K (Glassdoor est.),"The Position


The People Analytics team at Genentech is a small group of 9 people that has an outsized impact. We build products around data whose insights affect all ~14,000 Genentech employees. Our team is close knit and dynamic acting more like a startup within Genentech than anything else. We are looking for a dynamic Senior Data Scientist to join our team to help propel our trajectory and drive more impact.

Who we are looking for


As we are a small team, we are looking for an experienced Data Scientist with a variety of engineering, modeling, statistical and business skills who is comfortable working on both products and projects. Communication with stakeholders and within our team is a must, so excellent communication skills are required, especially around technical topics to non-technical audiences. No ideas are out of bounds, so we are looking for someone who is creative with data, including how and where we acquire it and how and where we use it. Most importantly we are seeking someone who is persistent: we are working on many things at once so we have to stay patient but continue to push the envelope.

No experience in People Analytics or HR is required, but the desire to learn and become a subject matter expert on the HR domain is a necessity.

Key Responsibilities
Leadership of projects and initiatives
Thought leadership on how to use advanced statistics, ML and AI in the HR domain
Synthesizing requirements from non-technical stakeholders
Drive decision making by clearly tell stories with data
Promote (both your own and others on the team) ideas and vision to external stakeholders and potential customers
Inspire and collaborate closely with team members and stakeholders
Forge relationships with peers across the company to drive team success
Technical Experience


Required
At least 10 years experience building models, executing statistical analyses and manipulating data
At least 5 years experience with Python (Numpy, Scipy, Pandas, scikit-learn)
SQL RDBMS
Building production ETL processes to acquire and process data
Production Deployment of Machine Learning models
Statistical expertise
Data Visualization
Production software development experience (git, testing, code reviews etc)
Familiar (and willingness to learn more of)
AWS (S3, EC2, Sagemaker, Glue)
R
Docker
Agile processes
Plotly and Plotly-Dash
Deep Learning (Tensorflow, Pytorch)
Who We Are


A member of the Roche Group, Genentech has been at the forefront of the biotechnology industry for more than 40 years, using human genetic information to develop novel medicines for serious and life-threatening diseases. Genentech has multiple therapies on the market for cancer & other serious illnesses. Please take this opportunity to learn about Genentech where we believe that our employees are our most important asset & are dedicated to remaining a great place to work.

The next step is yours. To apply today, click on the ""Apply online"" button.

Genentech is an equal opportunity employer & prohibits unlawful discrimination based on race, color, religion, gender, sexual orientation, gender identity/expression, national origin/ancestry, age, disability, marital & veteran status. For more information about equal employment opportunity, visit our Genentech Careers page.",3.9,"Genentech
3.9","South San Francisco, CA","South San Francisco, CA",10000+ employees,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
"Data Scientist, Analytics",$101K-$137K (Glassdoor est.),"The Analytics team is looking for Data Scientists to drive measurement, strategy, and tactical decision-making across the company. You'll be solving problems that range from customer acquisition to balancing supply and demand to new city launches to marketplace efficiency. You'll be designing and analyzing A/B tests for new product features, generating and sizing opportunities to prioritize new initiatives, and defining key performance metrics for the team. Data Scientists at DoorDash work cross-functionally to uncover insights and turn them into actionable recommendations.

The ideal candidate will have a background in a quantitative or technical field, will have experience working with large data sets, and will have some experience in data-driven decision making. You will be a great fit if you have a strong bias towards action, enjoy finding patterns amidst chaos, and have demonstrated success in using analytics to drive business impact. We're looking for someone who has the technical skills to surface insights quickly, and the interpersonal skills to communicate those insights in a way that persuades action.

What you'll do
Use quantitative analysis and the presentation of data to see beyond the numbers and understand what drives our business
Provide insights to help business and product leaders understand marketplace dynamics, user behaviors, and long-term trends
Identify and quantify levers to help move key metrics
Recommend which features to build and why
Work backwards from understanding and sizing problems to ideating solutions
Generate recommendations and use statistical techniques and hypothesis testing to validate your findings. This includes:
Performing analytical deep-dives to identify problems, opportunities and actions required;
Collecting, processing, and cleaning data from disparate sources using SQL, R, Python, or other scripting and statistical tools; and
Managing the design, execution, and analysis of experiments; driving rigor and testing culture through product and operations teams
Report against company initiatives by identifying key metrics and building executive-facing dashboards to track progress
Monitor key performance metrics, understanding root causes of changes
Build data sets and reporting tables to empower operational and exploratory analysis
Partner with engineering to implement, document, validate, and monitor our logging
About you
2-5 years of experience in a data analytics, consulting, or other quantitative role
Examples of relevant experience include: Funnel optimization, user segmentation, cohort analyses, time series analyses, regression models, etc.
Experience with analyzing both client side and server side tracking a plus
An ability to write very complex SQL queries. ETL experience a plus
Proficiency in one or more analytics & visualization tools (e.g. Chartio, Looker, Tableau)
A deep understanding of statistical analysis (e.g. hypothesis testing, experimentation, regressions) and familiarity with statistical packages, such as Matlab, R, SAS or Python
Strong business judgment. You've got the ability to take ambiguous problems and solve them in a structured, hypothesis-driven, data-supported way
Self-starter attitude. You're someone who can initiate and drive projects to completion with minimal guidance
Get-it-done mindset. You're not afraid of long hours, able to handle stress well, humble and scrappy!
A degree in Math, Physics, Statistics, Economics, Computer Science, or other quantitative field
About us

Founded in 2013, DoorDash is a San Francisco-based technology company passionate about transforming local businesses and dedicated to enabling new ways of working, earning, and living. Today, DoorDash connects customers with their favorite local and national restaurants in more than 1,000 cities across the United States and Canada. By building intelligent, last-mile delivery technology for local cities, DoorDash aims to connect people with the things they care about — one dash at a time.",4.0,"DoorDash
4.0","San Francisco, CA","San Francisco, CA",501 to 1000 employees,2013,Company - Private,Express Delivery Services,Transportation & Logistics,Unknown / Non-Applicable,-1
Data Scientist,-1,"Coinbase has built the world's leading compliant cryptocurrency platform serving over 30 million accounts in more than 100 countries. With multiple successful products, and our vocal advocacy for blockchain technology, we have played a major part in mainstream awareness and adoption of cryptocurrency. We are proud to offer an entire suite of products that are helping build the cryptoeconomy, and increase economic freedom around the world.

There are a few things we look for across all hires we make at Coinbase, regardless of role or team. First, we assess whether a candidate demonstrates our values: Clear Communication, Positive Energy, Efficient Execution, and Continuous Learning. Second, we look for signals that a candidate will thrive in a culture like ours, where we default to trust, embrace feedback, disrupt ourselves, and expect sustained high performance because we play as a championship team. Finally, we seek people with the desire and capacity to build and share expertise in the frontier technologies of crypto and blockchain, in whatever way is most relevant to their role.

At Coinbase, our vision is to build an open financial system for the world, and to get there we'll need to continually learn from our data. Data scientists are focused on this critical step of converting data into learnings.

You'll spend part of your time working directly with product teams — engineers, designers, and product managers — to ensure we're focused on the biggest opportunities and interpreting our data correctly. And you'll spend the other part of your time with the Data team building analytics models and systems that help scale our insights more broadly, both throughout the company and directly in the product.

What you'll be doing:
Measure business performance, develop core metrics and create dashboards to track and understand them
Work with product and engineering teams to design experiments for new product ideas, and analyze the results to provide actionable recommendations
Perform deep analyses and build models to understand customer behavior, and extract key insights that impact product decisions
Synthesize data learnings into compelling stories and communicate them throughout Coinbase
Act as a strategic partner to product and engineering leaders to help prioritize opportunities and inform product strategy
Prototype new analytics & machine learning models that improve both our insights and the product directly
Work across multiple subject matter experts to drive new data initiatives, automation of reports, establish best practices and mentor junior members in the team
Lead analytics projects to completion
Work with the broader Data team to find ways to scale our insights through better systems and automation
What we look for in you:
Demonstrate our core cultural values: clear communication, positive energy, continuous learning, and efficient execution
Understanding of statistical concepts and experience in applying them
Experience in data analyses using SQL
Experience in at least one programming language (e.g. R, Python, Java, Ruby, Scala/Spark, or Perl)
Be able to independently create plans for analytics projects and build collaboration within the team
(For Senior Data Scientist)BA / BS degree or equivalent practical experience. 5+ years relevant experience, or MS degree, 3+ year or PhD degree in related fields + 2 year
Nice to haves:
Be able to proactively manage prioritization of work and deliver work with great quality and influence the broader team in creating leverage
Previous experience working with financial services data is a plus
Experience with Looker, Tableau or other business intelligence platform
Domain experience in product, marketing or growth analytics
Experience manipulating large amounts of structured and unstructured data
Coinbase is committed to diversity in its workforce and is proud to be an equal opportunity employer and to review all of our job postings to minimize biased language. Coinbase does not make hiring or employment decisions on the basis of race, color, religion, creed, gender, national origin, age, disability, veteran status, marital status, pregnancy, sex, gender expression or identity, sexual orientation, citizenship, or any other basis protected by applicable local, state or federal law. Coinbase will also consider for employment qualified applicants with arrest and conviction records in a manner consistent with San Francisco's Fair Chance Ordinance and similar local laws.",4.2,"Coinbase
4.2","San Francisco, CA","San Francisco, CA",501 to 1000 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
"Data Scientist, Product Analytics",$148K-$201K (Glassdoor est.),"Position: Data Scientist, Product Analytics
Location: San Francisco, CA
Organization: StubHub, www.stubhub.com (an eBay company NASDAQ: EBAY)


At StubHub, our mission is to bring the joy of live to fans globally. As the worlds most trusted ticket marketplace spanning 44 countries, we enable fans to buy and sell tickets to tens of thousands of events, whenever and wherever fans want to be. Backed by award-winning customer care, StubHubs FanProtect Guarantee means every ticket is 100 percent guaranteed valid or youll receive your money back or a replacement ticket of equal or better value. Our business partners include more than 130 properties globally across the NFL, MLB, NBA, NHL, MLS, WWE, NCAA, Matchroom Boxing, plus Paciolan and Tessitura. StubHub provides the total end-to-end event going experience throughout the world.

Our Values

These actions and attitudes are how we approach our work and how we work together as a unified team.

At StubHub, we are:

Owners We carry the ball. We act as one team, in it together. We live above the line as optimists and with a solution mindset. We are fully accountable for solving problems, both our own pieces and the whole.

Fan First We are the fans biggest fan. We are the fan and the voice of our fans in everything we do.

Driven We push past the finish line, aggressively prioritize and focus on what matters most. We debate, decide, commit and deliver.

Inventive We play a new chord; we celebrate progress over perfection and learnings as much as success. Were agile because there is always more than one way.

Courageous We take big swings. We show up for challenges with resilience and persistence. We take risks, embrace failure as a path to learning, and speak up when we have a different opinion.

Diverse & Inclusive We harmonize. We assume positive intent, trust and empower others; bring a global mindset and seek out alternative viewpoints.

The Opportunity:

We are looking for an experienced Data scientist with exceptional product sense to help champion the use of data in product decision-making. In this role you will work closely with our Engineering, Product, Ops, and Design teams to evaluate product opportunities, track product metrics, develop and analyze experiments, and drive deep-dive studies to identify new opportunities.

You Will
Apply data & analytical skills to help understand how our customers use our products
Partner closely with product leadership to define, measure and report on core product and feature metrics
Design customer-facing experiments (A/B tests) and distill their results into actionable outcomes
Execute cohort studies and drive analyses to understand customer behavior and identify opportunities for improving our product(s)
Collaborate with data and business intelligence teams to develop reports and visualization dashboards
Build financial models to project key business metrics - Traffic, conversion, Engagement - and develop KPIs to measure initiative performance
You Have
Strong quantitative background with Product analytics experience. Proven track record in solving business problems through fact based and scientific analytics
Excellent technical skills - including the ability to query databases (SQL, Hive etc.), leveraging R/Python to analyze complex data, and using Tableau (or other visualization tools) to deliver insights at scale
Deep understanding of statistics, experimental design, and causal inference
The ability to translate analytical insights into clear recommendations and effectively deliver it to technical and non-technical stakeholders
Worked in cross-functional and cross-cultural teams, and are able to communicate technically intricate concepts/results in business terms
Passion for technology and consumer products
This website uses cookies to enhance your experience. By continuing to browse the site, you agree to our use of cookies

View our privacy policy

View our accessibility info

eBay Inc. is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, veteran status, and disability, or other legally protected status. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at talent@ebay.com. We will make every effort to respond to your request for disability assistance as soon as possible.

For more information see:

EEO is the Law Poster

EEO is the Law Poster Supplement",3.7,"eBay
3.7","San Francisco, CA","San Jose, CA",10000+ employees,1995,Company - Public,Internet,Information Technology,$10+ billion (USD),"Amazon, Apple"
